sku,short_description,additional_attributes,url_key,qty,name
1013001,"<ul class=""short-description-list smartphone""><li class=""display-size"">2''</li><li class=""processor"">НЕ</li><li class=""memory"">НЕ</li><li class=""hdd"">НЕ</li></ul>","color=Черен,filter_sim=2,gsm_battery=Li-Ion 1300 mAh,gsm_bluetooth=ДА,gsm_camera_light=ДА LED,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_chipset=Mediatek MT6235,gsm_dimensions=55 x 125 x 22 mm,gsm_display_resolution=240 x 320 px,gsm_display_size=2'',gsm_display_type=TFT,gsm_extras=фенерче, водо-, ударо- и прахоустойчив корпус (IP67, до половин час на дълбочина 1м), защитно стъкло Asahi, до 8GB карта,gsm_filter_battery=под 2000 mAh,gsm_filter_displaysize=под 4"",gsm_filter_weight=от 161 до 180 g,gsm_filter_yes_no=Слот за допълнителна памет|Водоустойчив|2 СИМ карти|FM радио,gsm_gps=ДА,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=4 GB,gsm_network=GSM 850/900/1800/1900,gsm_os=НЕ,gsm_processor=НЕ,gsm_ram=под 1 GB,gsm_usb=ДА microUSB,gsm_video=НЕ,gsm_warranty=24 месеца,gsm_weight=161 g ,gsm_wifi=802.11b/g/n,gsm_year_release=2013,operacionna_sistema_filt_r=Android",cat-b25-na-izplashtane,5.0000,"CAT B25"
1013002,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.0''</li><li class=""processor"">НЕ</li><li class=""memory"">512 MB</li><li class=""hdd"">4 GB</li></ul>","color=Черен,filter_sim=2,gsm_battery=Li-Ion 2000 mAh,gsm_bluetooth=ДА,gsm_camera_light=НЕ,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_chipset=Mediatek MT6577,gsm_dimensions=69.5 x 125 x 14.95 mm,gsm_display_resolution=480 x 800,gsm_display_size=4.0'',gsm_display_type=TFT,gsm_extras=водонепроницаем и удароустойчив смартфон, защитен по стандарта IP67, може да бъде потапян във вода на дълбочина до 1 метър за 30 минути, издръжлив на изпускане от 1,8 метра височина върху твърди повърхности, напълно непроницаем за прахови частици,gsm_filter_battery=oт 2001 до 2500 mAh,gsm_filter_displaysize=от 4"" до 4.49"",gsm_filter_weight=от 161 до 180 g,gsm_filter_yes_no=Слот за допълнителна памет|Водоустойчив|2 СИМ карти|FM радио,gsm_gps=ДА,gsm_gpu=PowerVR SGX531,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=4 GB,gsm_network=HSDPA 900 / 2100
HSDPA 850 / 1900,gsm_os=Android,gsm_processor=НЕ,gsm_ram=под 1 GB,gsm_usb=ДА microUSB,gsm_video=НЕ,gsm_warranty=24 месеца,gsm_weight=170 g,gsm_wifi=802.11b/g/n,gsm_year_release=2013,operacionna_sistema_filt_r=Android",cat-b15-na-izplashtane,5.0000,"CAT B15"
1013009,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.5 ''</li><li class=""processor"">Snapdragon MSM8225Q</li><li class=""memory"">1 GB</li><li class=""hdd"">4 GB</li></ul>","gsm_battery=Li-Ion 2000 mAh,gsm_bluetooth=ДА,gsm_camera_light=НЕ,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_dimensions=136.8x68.5x10.4 mm,gsm_display_resolution=480 x 854 px,gsm_display_size=4.5'',gsm_display_type=IPS,gsm_filter_battery=oт 2001 до 2500 mAh,gsm_filter_displaysize=от 4.5"" до 4.99"",gsm_filter_weight=от 121 до 140 g,gsm_gps=ДА,gsm_infrared=НЕ,gsm_manufacturer=Lenovo,gsm_memory=4 GB,gsm_network=GSM 850/900/1800/1900,gsm_os=Android 4.1,gsm_processor=Snapdragon MSM8225Q,gsm_ram=1 GB,gsm_usb=ДА microUSB,gsm_video=ДА,gsm_warranty=24 месеца,gsm_weight=134 g,gsm_wifi=802.11b/g/n,gsm_year_release=2014,operacionna_sistema_filt_r=Android,procesor_filt_r=2-ядрен",lenovo-a760-na-izplashtane,0.0000,"Lenovo A760"
1014001,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.7''</li><li class=""processor"">4-ядрен Cortex-A7 1.2GHz</li><li class=""memory"">2 GB</li><li class=""hdd"">8 GB</li></ul>","color=Черен,filter_sim=1,gsm_battery=Li-Ion 2630mAh,gsm_bluetooth=ДА,gsm_camera_light=LED,gsm_camera_mp=8 MP,gsm_camera_other=CMOS,gsm_chipset=Qualcomm MSM8926 Snapdragon 400,gsm_dimensions=144.5 x 77 x 12.7 mm,gsm_display_resolution=720 x 1280 px,gsm_display_size=4.7'',gsm_display_type=IPS LCD,gsm_extras=- IP67 certified - dust and water proof (up to 1m for 30 mins) - Drop-to-concrete resistance from up to 1.2 m - MIL-STD-810G certified - salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant,gsm_filter_battery=от 2501 до 3000 mAh,gsm_filter_displaysize=от 4.5"" до 4.99"",gsm_filter_weight=над 180 g,gsm_filter_yes_no=Водоустойчив|FM радио,gsm_gps=ДА,gsm_gpu=Adreno 305,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=8 GB,gsm_network=LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800),gsm_os=Android 4.4 (KitKat),gsm_processor=4-ядрен Cortex-A7 1.2GHz,gsm_ram=2 GB,gsm_usb=ДА microUSB,gsm_video=1080p,gsm_warranty=24 месеца,gsm_weight=185 g,gsm_wifi=802.11b/g/n,gsm_year_release=2014,operacionna_sistema_filt_r=Android,procesor_filt_r=4-ядрен",cat-s50-na-izplashtane,5.0000,"CAT S50"
1014013,"<ul class=""short-description-list smartphone""><li class=""display-size"">5''</li><li class=""processor"">4-ядрен 2.0 GHz Cortex-A17 & 4-ядрен 1.7 GHz Cortex-A7</li><li class=""memory"">2 GB</li><li class=""hdd"">32 GB</li></ul>","gsm_battery=Li-Po 2300 mAh,gsm_bluetooth=ДА,gsm_camera_light=LED,gsm_camera_mp=13 MP,gsm_camera_other=CMOS,gsm_chipset=MediaTek MT6595M,gsm_dimensions=140.2 x 68.6 x 7.3 mm,gsm_display_resolution=1080 x 1920 px,gsm_display_size=5'',gsm_display_type=IPS LCD,gsm_filter_battery=oт 2001 до 2500 mAh,gsm_filter_displaysize=от 5"" до 5.49"",gsm_filter_weight=от 101 до 120 g,gsm_gps=ДА,gsm_gpu=PowerVR G600,gsm_infrared=НЕ,gsm_manufacturer=Lenovo,gsm_memory=32 GB,gsm_network=GSM 850/900/1800/1900,gsm_os=Android OS, v4.4 (KitKat),gsm_processor=4-ядрен 2.0 GHz Cortex-A17 & 4-ядрен 1.7 GHz Cortex-A7,gsm_ram=2 GB,gsm_usb=ДА microUSB,gsm_video=1080p@30fps,gsm_warranty=24 месеца,gsm_weight=120 g,gsm_wifi=802.11b/g/n,gsm_year_release=2014,operacionna_sistema_filt_r=Android,procesor_filt_r=8-ядрен",lenovo-vibe-x2-na-izplashtane,0.0000,"Lenovo Vibe X2"
1015001,"<ul class=""short-description-list smartphone""><li class=""display-size"">4''</li><li class=""processor"">Quad-core 1.3 GHz</li><li class=""memory"">1 GB </li><li class=""hdd"">4 GB</li></ul>","color=Черен,filter_sim=2,gsm_battery=Li-Ion 2000 mAh,gsm_bluetooth=ДА,gsm_camera_light=LED,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_chipset=Mediatek MT6582M,gsm_dimensions=125 x 69.5 x 15 mm,gsm_display_resolution=480 x 800 px,gsm_display_size=4'',gsm_display_type=TFT ,gsm_extras=- IP67 certified - dust and water proof (up to 1m for 30 mins) - Drop-to-concrete resistance from up to 1.8m - MIL-STD-810G certified - salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant,gsm_filter_battery=oт 2001 до 2500 mAh,gsm_filter_displaysize=от 4"" до 4.49"",gsm_filter_weight=от 161 до 180 g,gsm_filter_yes_no=4G|Слот за допълнителна памет|Водоустойчив|FM радио,gsm_gps=ДА,gsm_gpu=Mali-400,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=4 GB,gsm_network=HSDPA 850 / 900 / 2100 - EU, EMEA,gsm_os=Android OS, v4.4.2 (KitKat),gsm_processor=Quad-core 1.3 GHz,gsm_ram=1 GB,gsm_usb=ДА microUSB,gsm_video=1080p@30fps,gsm_warranty=24 месеца,gsm_weight=170 g,gsm_wifi=802.11b/g/n,gsm_year_release=2014,operacionna_sistema_filt_r=Android,procesor_filt_r=4-ядрен",cat-b15q-na-top-cena-na-izplashtane,5.0000,"CAT B15Q"
1015002,"<ul class=""short-description-list smartphone""><li class=""display-size"">2.2''</li><li class=""processor""></li><li class=""memory"">64 MB</li><li class=""hdd"">128 MB</li></ul>","color=Черен,filter_sim=1,gsm_battery=Li-Ion 1150 mAh,gsm_bluetooth=ДА,gsm_camera_light=ДА,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_chipset=Mediatek MT6276W,gsm_dimensions=123 x 56 x 17.5 mm,gsm_display_size=2.2'',gsm_filter_battery=под 2000 mAh,gsm_filter_displaysize=под 4"",gsm_filter_weight=от 121 до 140 g,gsm_filter_yes_no=Водоустойчив|FM радио,gsm_gps=ДА,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=4 GB,gsm_network=GSM 850/900/1800/1900,gsm_os=НЕ,gsm_processor=НЕ,gsm_ram=под 1 GB,gsm_usb=ДА microUSB,gsm_warranty=24 месеца,gsm_weight=136 g,gsm_wifi=802.11b/g/n,gsm_year_release=2013,operacionna_sistema_filt_r=Android",cat-b100-na-izplashtane,5.0000,"CAT B100"
1015011,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.7''</li><li class=""processor"">Quad-core 1.1 GHz Cortex-A7</li><li class=""memory"">1 GB</li><li class=""hdd"">16 GB</li></ul>","color=Черен,gsm_battery=Li-Ion 3000 mAh,gsm_bluetooth=ДА,gsm_camera_light=НЕ,gsm_camera_mp=8 MP,gsm_camera_other=CMOS,gsm_chipset=Qualcomm MSM8909 Snapdragon 210,gsm_dimensions=144.9 x 74.1 x 12.5 mm,gsm_display_resolution=540 x 960 px,gsm_display_size=4.7'',gsm_display_type=IPS LCD,gsm_extras=- IP68 certified - dust/water proof over 1 meter and 60 minutes - Drop-to-concrete resistance from up to 1.8 m - MIL-STD-810G certified - salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant,gsm_filter_battery=от 2501 до 3000 mAh,gsm_filter_displaysize=от 4.5"" до 4.99"",gsm_filter_weight=над 180 g,gsm_filter_yes_no=Водоустойчив,gsm_gps=ДА,gsm_gpu=Adreno 304,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=16 GB,gsm_network=LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800),gsm_os=Android OS, v5.1 (Lollipop),gsm_processor=Quad-core 1.1 GHz Cortex-A7,gsm_ram=1 GB,gsm_usb=ДА microUSB,gsm_video=1080p@60fps,gsm_warranty=24 месеца,gsm_weight=185 g,gsm_wifi=802.11b/g/n,gsm_year_release=2015,operacionna_sistema_filt_r=Android,procesor_filt_r=4-ядрен",cat-s40-na-izplashtane,5.0000,"CAT S40"
1015015,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.5''</li><li class=""processor"">Quad-core 1.1 GHz Cortex-A7</li><li class=""memory"">1 GB</li><li class=""hdd"">8 GB</li></ul>","color=Черен,filter_sim=2,gsm_battery=Li-Ion 3000 mAh,gsm_bluetooth=ДА,gsm_camera_light=LED,gsm_camera_mp=5 MP,gsm_camera_other=CMOS,gsm_chipset=Qualcomm MSM8909 Snapdragon 210,gsm_dimensions=141.9 x 72.7 x 13.3 mm,gsm_display_resolution=480 x 854 px,gsm_display_size=4.5'',gsm_display_type=TFT,gsm_extras= - IP68 сертифициран - Прахо- и водоустойчив (до 1м. под вода до 60 мин.) Ударо-устойчив до 1.8 м - MIL-STD-810G сертифициран - сол, прах, влага, дъжд, вибрации, слънчева радиация,gsm_filter_battery=от 2501 до 3000 mAh,gsm_filter_displaysize=от 4.5"" до 4.99"",gsm_filter_weight=над 180 g,gsm_filter_yes_no=Слот за допълнителна памет|Водоустойчив|2 СИМ карти|FM радио,gsm_gps=ДА,gsm_gpu=Adreno 304,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=8 GB,gsm_network=LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global,gsm_os=Android OS, v5.1 (Lollipop),gsm_processor=Quad-core 1.1 GHz Cortex-A7,gsm_ram=1 GB,gsm_usb=ДА microUSB,gsm_video=1080p@60fps,gsm_warranty=24 месеца,gsm_weight=181 g,gsm_wifi=802.11b/g/n,gsm_year_release=2015,operacionna_sistema_filt_r=Android,procesor_filt_r=4-ядрен",cat-s30-na-izplashtane,5.0000,"CAT S30"
1016005,"<ul class=""short-description-list smartphone""><li class=""display-size"">4.7'' </li><li class=""processor"">Octa-core (4x1.2 GHz & 4x1.5 GHz)</li><li class=""memory"">3 GB</li><li class=""hdd"">32 GB</li></ul>","color=Черен,gsm_battery=Li-Ion 3800 mAh,gsm_bluetooth=ДА,gsm_camera_light=dual-LED (dual-tone),gsm_camera_mp=13 MP,gsm_camera_other=CMOS,gsm_chipset=Qualcomm MSM8952 Snapdragon 617,gsm_dimensions=147.9 x 73.4 x 12.7 mm,gsm_display_resolution=720 x 1280 px,gsm_display_size=4.7'',gsm_display_type=a-Si AHVA,gsm_extras= - Fast battery charging: 60% in 30 min (Quick Charge 2.0) - MP4/H.265 player - MP3/eAAC+/WAV player - Document viewer - Photo/video editor,gsm_filter_battery=от 3501 до 4000 mAh,gsm_filter_displaysize=от 4.5"" до 4.99"",gsm_filter_weight=над 180 g,gsm_gps=ДА,gsm_gpu=Adreno 405,gsm_infrared=НЕ,gsm_manufacturer=CAT,gsm_memory=32 GB,gsm_network=LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global
LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - North America,gsm_os=Android OS, v6.0 (Marshmallow),gsm_processor=Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),gsm_ram=3 GB,gsm_usb=ДА microUSB,gsm_video=1080p@30fps,gsm_warranty=24 месеца,gsm_weight=223 g,gsm_wifi=802.11b/g/n,gsm_year_release=2016,operacionna_sistema_filt_r=Android,procesor_filt_r=8-ядрен",cat-s60-na-top-cena-i-na-izplashtane,5.0000,"CAT S60 Dual"
